action:bottom,action:inflow_highway,action:inflow_merge,action:left,outflow:bottom,outflow:center,outflow:left,reward,speed:bottom,speed:center,speed:left,state:speed:bottom,state:speed:left,step
24.782275557518005,0.0,24.782275557518005,0.0,1080,1080,0,0.737852845754809,2.7853010146794714,14.046320380747204,0.6117527845538789,0.09284336715598238,0.020391759485129297,240
9.060183316469193,27.838339805603027,9.060183316469193,27.838339805603027,360,2250,1980,0.6745256051673508,1.5572094160596583,17.024464619605556,15.110835806137464,0.051906980535321945,0.5036945268712488,280
18.05490419268608,12.540195286273956,18.05490419268608,12.540195286273956,360,1710,1350,0.6462516105848034,0.6472482360218386,14.124258606752743,12.551509419565145,0.021574941200727952,0.41838364731883815,320
30.0,6.74867570400238,30.0,6.74867570400238,450,1710,1260,0.6859935838536033,1.152699745399396,11.805960577917805,6.452755801058947,0.03842332484664653,0.21509186003529823,360
16.43754467368126,0.0,16.43754467368126,0.0,1080,1350,90,0.7956637542986456,3.093019230257228,11.595090322035958,0.1678862252551943,0.10310064100857426,0.005596207508506477,400
30.0,0.0,30.0,0.0,1260,1170,0,0.7847809864114206,3.756175409202305,11.743756794380904,1.6130653615270636e-121,0.12520584697341017,5.376884538423545e-123,440
16.977142319083214,6.292526721954346,16.977142319083214,6.292526721954346,630,1620,1080,0.7509532255596671,2.0001744776701202,11.472649843697173,5.665151889706041,0.066672482589004,0.1888383963235347,480
27.199416160583496,30.0,27.199416160583496,30.0,90,3600,3870,0.5333384888932418,0.3650203434212277,13.813811118226687,11.875482533283504,0.012167344780707589,0.3958494177761168,520
30.0,20.515196621418,30.0,20.515196621418,0,4320,4050,0.26502985576689075,1.3505997094664807e-08,17.74968511031968,16.349577611901147,4.501999031554936e-10,0.5449859203967049,560
6.7558372020721436,17.257084250450134,6.7558372020721436,17.257084250450134,90,2340,2160,0.47919236578889385,0.23384578988739418,18.216447105169355,16.682019479000303,0.00779485966291314,0.5560673159666768,600
25.294259190559387,0.0,25.294259190559387,0.0,1080,1170,0,0.737852845754809,2.7854160635056053,12.75417956244081,0.41837201624635145,0.09284720211685352,0.013945733874878382,640
12.796537354588509,0.0,12.796537354588509,0.0,1170,1170,0,0.7618589943599561,3.7549509412613538,11.76549928533618,4.019754489170901e-121,0.12516503137537846,1.339918163056967e-122,680
19.69787210226059,29.220353364944458,19.69787210226059,29.220353364944458,360,2340,2340,0.6882814379268989,1.3616832457110057,14.09892104480044,14.769556115709715,0.04538944152370019,0.49231853719032387,720
25.244408547878265,11.409711241722107,25.244408547878265,11.409711241722107,360,2160,1530,0.6550195923606698,0.7235015498093607,13.69574515877947,11.204012702090633,0.02411671832697869,0.37346709006968776,760
20.087142884731293,0.0,20.087142884731293,0.0,1080,1260,90,0.7956637542986456,3.0110140149336204,11.671845279686377,0.28499918375219657,0.10036713383112068,0.009499972791739886,800
23.683306574821472,18.514328598976135,23.683306574821472,18.514328598976135,360,2700,2700,0.700818338699942,1.4353544493500694,13.931190323820363,13.118255618511515,0.04784514831166898,0.43727518728371717,840
29.507163763046265,0.0,29.507163763046265,0.0,1080,1620,180,0.8141347969073697,2.785421247476356,12.382482680813387,0.4412654981274005,0.09284737491587854,0.014708849937580017,880
23.729203641414642,0.0,23.729203641414642,0.0,1170,1170,0,0.7618589943599561,3.755022212700992,11.768150502224296,4.23971704161305e-121,0.12516740709003307,1.4132390138710166e-122,920
0.9364414215087891,6.814221739768982,0.9364414215087891,6.814221739768982,360,1440,1080,0.6316684122049203,0.8303931372591922,12.026491957629913,6.096754041580425,0.027679771241973072,0.2032251347193475,960
22.991357445716858,0.0,22.991357445716858,0.0,1080,1080,0,0.737852845754809,3.572484232046956,11.570596445137223,0.1817428269702986,0.11908280773489853,0.006058094232343286,1000
7.986329197883606,29.46982115507126,7.986329197883606,29.46982115507126,360,2700,2610,0.697783074213851,1.5292904789075359,14.785490073613,12.018476376298059,0.05097634929691786,0.4006158792099353,1040
13.646168410778046,25.453598499298096,13.646168410778046,25.453598499298096,0,4050,3690,0.255342635963207,1.2701141082639787e-05,20.816486629306745,20.167214552990544,4.233713694213262e-07,0.6722404850996848,1080
22.36608177423477,0.0,22.36608177423477,0.0,1080,1170,180,0.8141347969073697,2.8892069524538937,13.640783259592524,0.5191367055444718,0.0963068984151298,0.017304556851482394,1120
20.477790534496307,16.6071979701519,20.477790534496307,16.6071979701519,540,1800,1260,0.7253228424659461,2.039588467324001,13.42296018445804,12.284708971513771,0.06798628224413336,0.40949029905045903,1160
8.053993284702301,0.0,8.053993284702301,0.0,1080,1260,180,0.8141347969073697,2.790181681933678,12.561153478028318,0.40647807337181285,0.09300605606445593,0.013549269112393762,1200
28.87917459011078,15.298794955015182,28.87917459011078,15.298794955015182,270,2340,1980,0.6228428225032318,1.2396790999748688,13.914087027094405,11.654849319588509,0.04132263666582896,0.38849497731961696,1240
30.0,0.0,30.0,0.0,1080,1170,180,0.8141347969073697,2.785286037424209,12.52765428602391,0.3761502637615247,0.0928428679141403,0.012538342125384157,1280
22.165891528129578,7.86820113658905,22.165891528129578,7.86820113658905,450,1710,1350,0.6906422852128291,1.6423359760064038,11.914645400085808,6.8436145869642235,0.054744532533546796,0.2281204862321408,1320
21.481955498456955,1.8973901867866516,21.481955498456955,1.8973901867866516,900,1350,270,0.775671180438768,2.2873498876657847,11.426827917760441,1.9594144495261616,0.07624499625552615,0.06531381498420538,1360
30.0,2.4529650807380676,30.0,2.4529650807380676,900,1350,540,0.8043353861567185,2.734072885003327,11.244519669616938,2.430026772156116,0.09113576283344423,0.08100089240520388,1400
